soi_district_id,source_state_name,source_district_name,source_state_slug,source_district_slug,soi_state_name,soi_district_name,soi_state_slug,soi_district_slug,source_profile_path,district_profile_path,source_metadata_path,district_metadata_path,path_changed
699,Haryana,Charkhi Dadri,haryana,charkhi_dadri,HARYANA,CHARKHI DADRI,haryana,charkhi_dadri,data/ceew/district_data/haryana/charkhi_dadri/haryana_charkhi_dadri_profile.json,data/ceew/district_data/haryana/charkhi_dadri/haryana_charkhi_dadri_profile.json,data/ceew/district_data/haryana/charkhi_dadri/haryana_charkhi_dadri_metadata_config.json,data/ceew/district_data/haryana/charkhi_dadri/haryana_charkhi_dadri_metadata_config.json,False
700,Haryana,Rewari,haryana,rewari,HARYANA,REWARI,haryana,rewari,data/ceew/district_data/haryana/rewari/haryana_rewari_profile.json,data/ceew/district_data/haryana/rewari/haryana_rewari_profile.json,data/ceew/district_data/haryana/rewari/haryana_rewari_metadata_config.json,data/ceew/district_data/haryana/rewari/haryana_rewari_metadata_config.json,False
701,Haryana,Jhajjar,haryana,jhajjar,HARYANA,JHAJJAR,haryana,jhajjar,data/ceew/district_data/haryana/jhajjar/haryana_jhajjar_profile.json,data/ceew/district_data/haryana/jhajjar/haryana_jhajjar_profile.json,data/ceew/district_data/haryana/jhajjar/haryana_jhajjar_metadata_config.json,data/ceew/district_data/haryana/jhajjar/haryana_jhajjar_metadata_config.json,False
702,Haryana,Panipat,haryana,panipat,HARYANA,PANIPAT,haryana,panipat,data/ceew/district_data/haryana/panipat/haryana_panipat_profile.json,data/ceew/district_data/haryana/panipat/haryana_panipat_profile.json,data/ceew/district_data/haryana/panipat/haryana_panipat_metadata_config.json,data/ceew/district_data/haryana/panipat/haryana_panipat_metadata_config.json,False
703,Haryana,Yamunanagar,haryana,yamunanagar,HARYANA,YAMUNANAGAR,haryana,yamunanagar,data/ceew/district_data/haryana/yamunanagar/haryana_yamunanagar_profile.json,data/ceew/district_data/haryana/yamunanagar/haryana_yamunanagar_profile.json,data/ceew/district_data/haryana/yamunanagar/haryana_yamunanagar_metadata_config.json,data/ceew/district_data/haryana/yamunanagar/haryana_yamunanagar_metadata_config.json,False
704,Haryana,Sirsa,haryana,sirsa,HARYANA,SIRSA,haryana,sirsa,data/ceew/district_data/haryana/sirsa/haryana_sirsa_profile.json,data/ceew/district_data/haryana/sirsa/haryana_sirsa_profile.json,data/ceew/district_data/haryana/sirsa/haryana_sirsa_metadata_config.json,data/ceew/district_data/haryana/sirsa/haryana_sirsa_metadata_config.json,False
705,Haryana,Fatehabad,haryana,fatehabad,HARYANA,FATEHABAD,haryana,fatehabad,data/ceew/district_data/haryana/fatehabad/haryana_fatehabad_profile.json,data/ceew/district_data/haryana/fatehabad/haryana_fatehabad_profile.json,data/ceew/district_data/haryana/fatehabad/haryana_fatehabad_metadata_config.json,data/ceew/district_data/haryana/fatehabad/haryana_fatehabad_metadata_config.json,False
706,Haryana,Mewat,haryana,mewat,HARYANA,MEWAT,haryana,mewat,data/ceew/district_data/haryana/mewat/haryana_mewat_profile.json,data/ceew/district_data/haryana/mewat/haryana_mewat_profile.json,data/ceew/district_data/haryana/mewat/haryana_mewat_metadata_config.json,data/ceew/district_data/haryana/mewat/haryana_mewat_metadata_config.json,False
707,Haryana,Kaithal,haryana,kaithal,HARYANA,KAITHAL,haryana,kaithal,data/ceew/district_data/haryana/kaithal/haryana_kaithal_profile.json,data/ceew/district_data/haryana/kaithal/haryana_kaithal_profile.json,data/ceew/district_data/haryana/kaithal/haryana_kaithal_metadata_config.json,data/ceew/district_data/haryana/kaithal/haryana_kaithal_metadata_config.json,False
708,Haryana,Sonipat,haryana,sonipat,HARYANA,SONIPAT,haryana,sonipat,data/ceew/district_data/haryana/sonipat/haryana_sonipat_profile.json,data/ceew/district_data/haryana/sonipat/haryana_sonipat_profile.json,data/ceew/district_data/haryana/sonipat/haryana_sonipat_metadata_config.json,data/ceew/district_data/haryana/sonipat/haryana_sonipat_metadata_config.json,False
709,Haryana,Gurugram,haryana,gurugram,HARYANA,GURUGRAM,haryana,gurugram,data/ceew/district_data/haryana/gurugram/haryana_gurugram_profile.json,data/ceew/district_data/haryana/gurugram/haryana_gurugram_profile.json,data/ceew/district_data/haryana/gurugram/haryana_gurugram_metadata_config.json,data/ceew/district_data/haryana/gurugram/haryana_gurugram_metadata_config.json,False
710,Haryana,Palwal,haryana,palwal,HARYANA,PALWAL,haryana,palwal,data/ceew/district_data/haryana/palwal/haryana_palwal_profile.json,data/ceew/district_data/haryana/palwal/haryana_palwal_profile.json,data/ceew/district_data/haryana/palwal/haryana_palwal_metadata_config.json,data/ceew/district_data/haryana/palwal/haryana_palwal_metadata_config.json,False
711,Haryana,Jind,haryana,jind,HARYANA,JIND,haryana,jind,data/ceew/district_data/haryana/jind/haryana_jind_profile.json,data/ceew/district_data/haryana/jind/haryana_jind_profile.json,data/ceew/district_data/haryana/jind/haryana_jind_metadata_config.json,data/ceew/district_data/haryana/jind/haryana_jind_metadata_config.json,False
712,Haryana,Panchkula,haryana,panchkula,HARYANA,PANCHKULA,haryana,panchkula,data/ceew/district_data/haryana/panchkula/haryana_panchkula_profile.json,data/ceew/district_data/haryana/panchkula/haryana_panchkula_profile.json,data/ceew/district_data/haryana/panchkula/haryana_panchkula_metadata_config.json,data/ceew/district_data/haryana/panchkula/haryana_panchkula_metadata_config.json,False
713,Haryana,Rohtak,haryana,rohtak,HARYANA,ROHTAK,haryana,rohtak,data/ceew/district_data/haryana/rohtak/haryana_rohtak_profile.json,data/ceew/district_data/haryana/rohtak/haryana_rohtak_profile.json,data/ceew/district_data/haryana/rohtak/haryana_rohtak_metadata_config.json,data/ceew/district_data/haryana/rohtak/haryana_rohtak_metadata_config.json,False
714,Haryana,Kurukshetra,haryana,kurukshetra,HARYANA,KURUKSHETRA,haryana,kurukshetra,data/ceew/district_data/haryana/kurukshetra/haryana_kurukshetra_profile.json,data/ceew/district_data/haryana/kurukshetra/haryana_kurukshetra_profile.json,data/ceew/district_data/haryana/kurukshetra/haryana_kurukshetra_metadata_config.json,data/ceew/district_data/haryana/kurukshetra/haryana_kurukshetra_metadata_config.json,False
715,Odisha,Cuttack,odisha,cuttack,ODISHA,CUTTACK,odisha,cuttack,data/ceew/district_data/odisha/cuttack/odisha_cuttack_profile.json,data/ceew/district_data/odisha/cuttack/odisha_cuttack_profile.json,data/ceew/district_data/odisha/cuttack/odisha_cuttack_metadata_config.json,data/ceew/district_data/odisha/cuttack/odisha_cuttack_metadata_config.json,False
716,Odisha,Kendraparha,odisha,kendraparha,ODISHA,KENDRAPARHA,odisha,kendraparha,data/ceew/district_data/odisha/kendraparha/odisha_kendraparha_profile.json,data/ceew/district_data/odisha/kendraparha/odisha_kendraparha_profile.json,data/ceew/district_data/odisha/kendraparha/odisha_kendraparha_metadata_config.json,data/ceew/district_data/odisha/kendraparha/odisha_kendraparha_metadata_config.json,False
